query_id,query_text,language,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area,age_group,pregnancy_status,year,recency_flag,dose_context_flag,route,renal_function_group,hepatic_impairment_flag,comparison_flag,negation_flag,prior_treatment_failure_flag
Q262,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,MIXED,Sepsis,A41,Piperacillin-tazobactam; Meropenem,J01CR05; J01DH02,Beta-lactam combinations; Carbapenems,J01CR; J01DH,Critical Care,,,,False,False,,,False,False,True,False
Q263,titration protocol Levothyroxine in Hypothyroidism,EN,Hypothyroidism,E03,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,False,,,False,False,False,False
Q264,dosis Levothyroxine untuk pasien Hypothyroidism,ID,Hypothyroidism,E03,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,True,,,False,False,False,False
Q265,renal dose adjustment Allopurinol in Psoriatic Arthritis,EN,Psoriatic Arthritis,M07,Allopurinol,M04AA01,Xanthine oxidase inhibitors,M04AA,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False
Q266,monitoring terapi Artemether-lumefantrine pada Typhoid Fever,ID,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q267,Adalimumab side effect pada pasien Gout apa saja,MIXED,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q268,Beta blockers non-selective mechanism of action in Hypertension in Pregnancy,EN,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics,,pregnant,,False,False,,,False,False,False,False
Q269,Sertraline efficacy pada Major Depressive Disorder clinical outcome data,MIXED,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q270,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment,MIXED,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,elderly,,,False,True,,,False,False,False,False
Q271,switch dari Alteplase ke Aspirin Ischaemic Stroke progresif,MIXED,Ischaemic Stroke,I63,Alteplase; Aspirin,B01AD02; B01AC06,Thrombolytics; Platelet aggregation inhibitors,B01AD; B01AC,Neurology,,,,False,False,,,False,False,False,False
Q272,CNS stimulants role in Breast Cancer HER2-positive pathophysiology,EN,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology,,,,False,False,,,False,False,False,False
Q273,Calcium channel blockers terbaru untuk Acute Coronary Syndrome 2025,MIXED,Acute Coronary Syndrome,I24,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,2025,True,False,,,False,False,False,False
Q274,resistensi Alendronate pada Osteoporosis alternatif Alendronate,ID,Osteoporosis,M81,Alendronate; Alendronate,M05BA04; M05BA04,Bisphosphonates; Bisphosphonates,M05BA; M05BA,Rheumatology,,,,False,False,,,False,False,False,True
Q275,obat MDR Tuberculosis lini pertama Antituberculotics,ID,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q276,monitoring parameters Atorvastatin in Acute Coronary Syndrome,EN,Acute Coronary Syndrome,I24,Atorvastatin,C10AA05,Statins,C10AA,Cardiology,,,,False,False,,,False,False,False,False
Q277,Amoxicillin hepatic impairment dose in HIV/AIDS,EN,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,,,False,True,,,True,False,False,False
Q278,add on Furosemide setelah Furosemide gagal Nephrotic Syndrome,MIXED,Nephrotic Syndrome,N04,Furosemide; Furosemide,C03CA01; C03CA01,Loop diuretics; Loop diuretics,C03CA; C03CA,Nephrology,,,,False,False,,,False,False,False,True
Q279,prophylaxis MDR Tuberculosis Bedaquiline kapan bisa dihentikan,MIXED,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q280,algoritma terapi Malaria step up,ID,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q281,NRTIs combination mechanism of action in Urinary Tract Infection,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q282,Vasopressin analogues kontraindikasi pada Diabetes Insipidus dengan hypertension,ID,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology,,,,False,False,,,False,False,False,False
Q283,monitoring Centrally acting antihypertensives pada Hypertension in Pregnancy parameter apa,MIXED,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics,,pregnant,,False,False,,,False,False,False,False
Q284,Proton pump inhibitors adverse effects monitoring in Peptic Ulcer Disease,EN,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q285,Olanzapine vs Lithium in Bipolar Disorder patients,EN,Bipolar Disorder,F31,Olanzapine; Lithium,N05AH03; N05AN01,Atypical antipsychotics; Mood stabilisers,N05AH; N05AN,Psychiatry,,,,False,False,,,False,True,False,False
Q286,prophylaxis Urinary Tract Infection Tenofovir+Lamivudine kapan bisa dihentikan,MIXED,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q287,panduan klinis Epilepsy terbaru,ID,Epilepsy,G40,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,True,False,,,False,False,False,False
Q288,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,ID,Non-Small Cell Lung Cancer,C34,Trastuzumab,L01FD01,HER2-targeted agents,L01FD,Oncology,,,,False,False,,,False,False,False,False
Q289,Apixaban pada ibu hamil dengan Deep Vein Thrombosis,ID,Deep Vein Thrombosis,I82,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Haematology,,pregnant,,False,False,,,False,False,False,False
Q290,monitoring NRTIs combination pada Urinary Tract Infection parameter apa,MIXED,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q291,Peptic Ulcer Disease dengan hypertension pilihan terapi,ID,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q292,Amoxicillin vs Amoxicillin efficacy in HIV/AIDS,EN,HIV/AIDS,B20,Amoxicillin; Amoxicillin,J01CA04; J01CA04,Penicillins; Penicillins,J01CA; J01CA,Infectious Disease,,,,False,False,,,False,True,False,False
Q293,resistensi Prednisolone pada Asthma alternatif Azithromycin,ID,Asthma,J45,Prednisolone; Azithromycin,H02AB06; J01FA10,Corticosteroids; Macrolides,H02AB; J01FA,Pulmonology,,,,False,False,,,False,False,False,True
Q294,dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien,MIXED,Hyperthyroidism,E05,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,True,,,False,False,False,False
Q295,switch from Sertraline to Venlafaxine in Major Depressive Disorder,EN,Major Depressive Disorder,F32,Sertraline; Venlafaxine,N06AB06; N06AX16,SSRIs; SNRIs,N06AB; N06AX,Psychiatry,,,,False,False,,,False,False,False,False
Q296,resistensi Bedaquiline pada Tuberculosis alternatif Rifampicin,ID,Tuberculosis,A15,Bedaquiline; Rifampicin,J04AK05; J04AB02,Antituberculotics; Antituberculotics,J04AK; J04AB,Pulmonology,,,,False,False,,,False,False,False,True
Q297,Colorectal Cancer with COPD first line drug,EN,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q298,penggantian Apixaban ke Rivaroxaban pada Deep Vein Thrombosis,ID,Deep Vein Thrombosis,I82,Apixaban; Rivaroxaban,B01AF02; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology,,,,False,False,,,False,False,False,False
Q299,Zinc hepatic impairment dose in Stunting / Malnutrition,EN,Stunting / Malnutrition,E43,Zinc,A12CB01,Zinc supplements,A12CB,Pediatrics,,,,False,True,,,True,False,False,False
Q300,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,MIXED,Community-acquired Pneumonia,J18,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,True,,,False,False,True,False
Q301,monitoring parameters Topiramate in Epilepsy,EN,Epilepsy,G40,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,False,,,False,False,False,False
Q302,dosis titrasi Topiramate Migraine toleransi pasien,MIXED,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,True,,,False,False,False,False
Q303,Parkinson Disease treatment algorithm Dopaminergic agents first line,EN,Parkinson Disease,G20,Levodopa-carbidopa,N04BA02,Dopaminergic agents,N04BA,Neurology,,,,False,False,,,False,False,False,False
Q304,target Major Depressive Disorder sudah tercapai kapan maintenance Venlafaxine,MIXED,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry,,,,False,False,,,False,False,False,False
Q305,when to start Diazepam in Febrile Seizure,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q306,Tenofovir+Lamivudine combination therapy Urinary Tract Infection,EN,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q307,Fluoroquinolones in pregnancy and HIV/AIDS,EN,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease,,pregnant,,False,False,,,False,False,False,False
Q308,MDR Tuberculosis dengan CKD pilihan drug terbaik,MIXED,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q309,Bedaquiline long term outcomes MDR Tuberculosis,EN,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q310,target terapi Rheumatoid Arthritis dengan Proteasome inhibitors,ID,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology,,,,False,False,,,False,False,False,False
Q311,add on therapy Typhoid Fever after Artemether-lumefantrine failure,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,True
Q312,Tuberculosis prophylaxis Isoniazid indication,EN,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,False,,,False,False,False,False
Q313,indikasi Losartan pada Chronic Kidney Disease guideline terbaru,MIXED,Chronic Kidney Disease,N18,Losartan,C09CA01,ARBs,C09CA,Nephrology,,,,True,False,,,False,False,False,False
Q314,switch dari Rifampicin ke Isoniazid Tuberculosis progresif,MIXED,Tuberculosis,A15,Rifampicin; Isoniazid,J04AB02; J04AC01,Antituberculotics; Antituberculotics,J04AB; J04AC,Pulmonology,,,,False,False,,,False,False,False,False
Q315,latest guideline Rheumatoid Arthritis management 2023,MIXED,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology,,,2023,True,False,,,False,False,False,False
Q316,Lansoprazole vs Omeprazole untuk pasien Peptic Ulcer Disease mana lebih efektif,MIXED,Peptic Ulcer Disease,K27,Lansoprazole; Omeprazole,A02BC03; A02BC01,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology,,,,False,False,,,False,True,False,False
Q317,Methylphenidate efficacy pada Breast Cancer HER2-positive clinical outcome data,MIXED,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology,,,,False,False,,,False,False,False,False
Q318,Venlafaxine vs Escitalopram efficacy in Major Depressive Disorder,EN,Major Depressive Disorder,F32,Venlafaxine; Escitalopram,N06AX16; N06AB10,SNRIs; SSRIs,N06AX; N06AB,Psychiatry,,,,False,False,,,False,True,False,False
Q319,dosis titrasi Adalimumab Gout toleransi pasien,MIXED,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,True,,,False,False,False,False
Q320,is Bedaquiline safe in Tuberculosis with hepatic impairment,EN,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,True,False,False,False
Q321,Escitalopram drug interaction with Sertraline in ADHD,EN,ADHD,F90,Escitalopram; Sertraline,N06AB10; N06AB06,SSRIs; SSRIs,N06AB; N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q322,Dolutegravir hepatic impairment dose in Malaria,EN,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,,False,True,,,True,False,False,False
Q323,efek samping Inhaled corticosteroids pada Asthma,ID,Asthma,J45,Budesonide,R03BA02,Inhaled corticosteroids,R03BA,Pulmonology,,,,False,False,inhaled,,False,False,False,False
Q324,monitoring parameters Aspirin in Stable Angina,EN,Stable Angina,I20,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Cardiology,,,,False,False,,,False,False,False,False
Q325,target Systemic Lupus Erythematosus sudah tercapai kapan maintenance Adalimumab,MIXED,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q326,titration protocol Ferrous sulphate in Iron Deficiency Anaemia,EN,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology,,,,False,False,,,False,False,False,False
Q327,kombinasi Desmopressin dan Desmopressin pada Diabetes Insipidus aman atau tidak,MIXED,Diabetes Insipidus,E23.2,Desmopressin; Desmopressin,H01BA02; H01BA02,Vasopressin analogues; Vasopressin analogues,H01BA; H01BA,Endocrinology,,,,False,False,,,False,False,True,False
Q328,kombinasi Piperacillin-tazobactam dan Hydrocortisone pada Sepsis aman atau tidak,MIXED,Sepsis,A41,Piperacillin-tazobactam; Hydrocortisone,J01CR05; H02AB09,Beta-lactam combinations; Corticosteroids,J01CR; H02AB,Critical Care,,,,False,False,,,False,False,True,False
Q329,algoritma terapi Major Depressive Disorder step up,ID,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q330,Lithium side effect pada pasien Bipolar Disorder apa saja,MIXED,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry,,,,False,False,,,False,False,False,False
Q331,Osteoporosis dengan renal impairment penyesuaian dosis Alendronate,MIXED,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False
Q332,kapan mulai terapi Desmopressin pada Diabetes Insipidus,ID,Diabetes Insipidus,E23.2,Desmopressin,H01BA02,Vasopressin analogues,H01BA,Endocrinology,,,,False,False,,,False,False,False,False
Q333,kontraindikasi Diazepam pada Febrile Seizure dengan hypertension,MIXED,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q334,Community-acquired Pneumonia prophylaxis Apixaban indication,EN,Community-acquired Pneumonia,J18,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q335,Metronidazole vs Omeprazole untuk pasien Pulmonary Embolism mana lebih efektif,MIXED,Pulmonary Embolism,I26,Metronidazole; Omeprazole,J01XD01; A02BC01,Nitroimidazoles; Proton pump inhibitors,J01XD; A02BC,Pulmonology,,,,False,False,,,False,True,False,False
Q336,Lithium contraindication in Bipolar Disorder with anaemia,EN,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry,,,,False,False,,,False,False,False,False
Q337,Chronic Kidney Disease with immunocompromised first line drug,EN,Chronic Kidney Disease,N18,Ramipril,C09AA05,ACE inhibitors,C09AA,Nephrology,,,,False,False,,,False,False,False,False
Q338,Metronidazole vs Metronidazole in Inflammatory Bowel Disease patients,EN,Inflammatory Bowel Disease,K50,Metronidazole; Metronidazole,J01XD01; J01XD01,Nitroimidazoles; Nitroimidazoles,J01XD; J01XD,Gastroenterology,,,,False,False,,,False,True,False,False
Q339,Clozapine vs Clozapine in Schizophrenia patients,EN,Schizophrenia,F20,Clozapine; Clozapine,N05AH02; N05AH02,Atypical antipsychotics; Atypical antipsychotics,N05AH; N05AH,Psychiatry,,,,False,False,,,False,True,False,False
Q340,latest guideline Peptic Ulcer Disease management 2023,MIXED,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,2023,True,False,,,False,False,False,False
Q341,switch from Clopidogrel to Rosuvastatin in Stable Angina,EN,Stable Angina,I20,Clopidogrel; Rosuvastatin,B01AC04; C10AA07,Platelet aggregation inhibitors; Statins,B01AC; C10AA,Cardiology,,,,False,False,,,False,False,False,False
Q342,dosis titrasi Vancomycin Sepsis toleransi pasien,MIXED,Sepsis,A41,Vancomycin,J01XA01,Glycopeptides,J01XA,Critical Care,,,,False,True,,,False,False,False,False
Q343,obat HIV/AIDS lini pertama Penicillins,ID,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,,,False,False,,,False,False,False,False
Q344,panduan klinis MDR Tuberculosis terbaru,ID,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,True,False,,,False,False,False,False
Q345,monitoring parameters Apixaban in Community-acquired Pneumonia,EN,Community-acquired Pneumonia,J18,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q346,Chronic Kidney Disease dengan renal impairment penyesuaian dosis Losartan,MIXED,Chronic Kidney Disease,N18,Losartan,C09CA01,ARBs,C09CA,Nephrology,,,,False,True,,renal_impairment,False,False,False,False
Q347,Prednisolone hepatic impairment dose in Rheumatoid Arthritis,EN,Rheumatoid Arthritis,M05,Prednisolone,H02AB06,Corticosteroids,H02AB,Rheumatology,,,,False,True,,,True,False,False,False
Q348,Ramipril side effect pada pasien Hypertension apa saja,MIXED,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False
Q349,dosis Liraglutide untuk pasien Obesity,ID,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,True,,,False,False,False,False
Q350,Valproate resistance in Epilepsy alternative therapy,EN,Epilepsy,G40,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology,,,,False,False,,,False,False,False,True
Q351,dosis Rifampicin pada Tuberculosis pasien pregnancy aman tidak,MIXED,Tuberculosis,A15,Rifampicin,J04AB02,Antituberculotics,J04AB,Pulmonology,,pregnant,,False,True,,,False,False,True,False
Q352,panduan klinis ADHD terbaru,ID,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,,True,False,,,False,False,False,False
Q353,Nivolumab efficacy pada Non-Small Cell Lung Cancer clinical outcome data,MIXED,Non-Small Cell Lung Cancer,C34,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q354,apakah Topiramate aman untuk Migraine dengan hypertension,ID,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,False,,,False,False,False,False
Q355,terapi profilaksis Chronic Kidney Disease dengan Empagliflozin,ID,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False
Q356,apakah Dapagliflozin aman untuk Chronic Kidney Disease dengan pregnancy,ID,Chronic Kidney Disease,N18,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Nephrology,,pregnant,,False,False,,,False,False,False,False
Q357,Pembrolizumab long term outcomes Non-Small Cell Lung Cancer,EN,Non-Small Cell Lung Cancer,C34,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q358,Methylphenidate loading dose Breast Cancer HER2-positive emergency,EN,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology,,,,False,True,,,False,False,False,False
Q359,dosis Adalimumab untuk pasien Systemic Lupus Erythematosus,ID,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,True,,,False,False,False,False
Q360,is Semaglutide safe in Obesity with elderly patients,EN,Obesity,E66,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,elderly,,,False,False,,,False,False,False,False
Q361,penanganan Type 2 Diabetes Mellitus di ICU panduan 2022,ID,Type 2 Diabetes Mellitus,E11,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,,,2022,False,False,,,False,False,False,False
Q362,tatalaksana ADHD panduan terbaru terbaru,ID,ADHD,F90,Escitalopram,N06AB10,SSRIs,N06AB,Psychiatry,,,,True,False,,,False,False,False,False
Q363,target Type 2 Diabetes Mellitus sudah tercapai kapan maintenance Liraglutide,MIXED,Type 2 Diabetes Mellitus,E11,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,False,,,False,False,False,False
Q364,switch from Aspirin to Aspirin in Ischaemic Stroke,EN,Ischaemic Stroke,I63,Aspirin; Aspirin,B01AC06; B01AC06,Platelet aggregation inhibitors; Platelet aggregation inhibitors,B01AC; B01AC,Neurology,,,,False,False,,,False,False,False,False
Q365,Antimalarials in pregnancy and Typhoid Fever,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,pregnant,,False,False,,,False,False,False,False
Q366,Venlafaxine long term outcomes Major Depressive Disorder,EN,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry,,,,False,False,,,False,False,False,False
Q367,ARBs in pregnancy and Hypertension,EN,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,pregnant,,False,False,,,False,False,False,False
Q368,Community-acquired Pneumonia dengan hepatic impairment pilihan drug terbaik,MIXED,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,True,False,False,False
Q369,Nivolumab vs Pembrolizumab untuk Non-Small Cell Lung Cancer,ID,Non-Small Cell Lung Cancer,C34,Nivolumab; Pembrolizumab,L01FF01; L01FF02,PD-1 inhibitors; PD-1 inhibitors,L01FF; L01FF,Oncology,,,,False,False,,,False,True,False,False
Q370,obat Rheumatoid Arthritis lini pertama Antimalarials,ID,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology,,,,False,False,,,False,False,False,False
Q371,kapan start Losartan di Hypertension evidence terbaru terbaru,MIXED,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,,True,False,,,False,False,False,False
Q372,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Type 2 Diabetes Mellitus,E11,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,True,False,,,False,False,False,False
Q373,add on therapy Stable Angina after Metoprolol failure,EN,Stable Angina,I20,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology,,,,False,False,,,False,False,False,True
Q374,kontraindikasi Ramipril pada Hypertension dengan diabetes,MIXED,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False
Q375,Tuberculosis pada anak dosis Bedaquiline,ID,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,pediatric,,,False,True,,,False,False,False,False
Q376,Antimalarials role in Typhoid Fever pathophysiology,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q377,latest Preeclampsia management guidelines 2024,EN,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics,,pregnancy_related,2024,True,False,,,False,False,False,False
Q378,add on therapy Schizophrenia after Olanzapine failure,EN,Schizophrenia,F20,Olanzapine,N05AH03,Atypical antipsychotics,N05AH,Psychiatry,,,,False,False,,,False,False,False,True
Q379,kontraindikasi Prednisolone pada COPD dengan renal impairment,MIXED,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology,,,,False,False,,renal_impairment,False,False,False,False
Q380,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide,MIXED,Type 2 Diabetes Mellitus,E11,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,True,,renal_impairment,False,False,False,False
Q381,renal dose adjustment Artemether-lumefantrine in Typhoid Fever,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,True,,renal_impairment,False,False,False,False
Q382,when to start Methylphenidate in Breast Cancer HER2-positive,EN,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology,,,,False,False,,,False,False,False,False
Q383,SSRIs terbaru untuk ADHD 2023,MIXED,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,,2023,True,False,,,False,False,False,False
Q384,Iron preparations in pregnancy and Iron Deficiency Anaemia,EN,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology,,pregnant,,False,False,,,False,False,False,False
Q385,terapi profilaksis Tuberculosis dengan Isoniazid,ID,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,False,,,False,False,False,False
Q386,Zinc side effect pada pasien Stunting / Malnutrition apa saja,MIXED,Stunting / Malnutrition,E43,Zinc,A12CB01,Zinc supplements,A12CB,Pediatrics,,,,False,False,,,False,False,False,False
Q387,monitoring parameters Escitalopram in ADHD,EN,ADHD,F90,Escitalopram,N06AB10,SSRIs,N06AB,Psychiatry,,,,False,False,,,False,False,False,False
Q388,Magnesium role in Preeclampsia pathophysiology,EN,Preeclampsia,O14,Magnesium sulphate,A12CC02,Magnesium,A12CC,Obstetrics,,pregnancy_related,,False,False,,,False,False,False,False
Q389,algoritma terapi Pulmonary Embolism step up,ID,Pulmonary Embolism,I26,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Pulmonology,,,,False,False,,,False,False,False,False
Q390,panduan klinis Ischaemic Stroke terbaru,ID,Ischaemic Stroke,I63,Aspirin,B01AC06,Platelet aggregation inhibitors,B01AC,Neurology,,,,True,False,,,False,False,False,False
Q391,when to start Secukinumab in Disseminated Intravascular Coagulation,EN,Disseminated Intravascular Coagulation,D65,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Critical Care,,,,False,False,,,False,False,False,False
Q392,switch from Artemether-lumefantrine to Artemether-lumefantrine in Typhoid Fever,EN,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
